destination_name,property_type,listing_name,usd_price,local_currency,local_price,size_m2,usd_per_m2,source_name,source_url,note,captured_date
Niseko,Ski-in/out condo,"Aya Niseko 207, 2-bed",1146895.6324974427,JPY,185000000,85.9,13351.520750843336,Niseko Real Estate,https://nisekorealestate.com/properties/upper-hirafu,Prime ski-in/ski-out condo example.,2026-06-21
Niseko,House / chalet,"Kita House, Kutchan",371966.1510802517,JPY,60000000,102.22,3638.878410098334,Niseko Realty,https://www.nisekorealty.com/property-search?type=Land,Local-house/chalet example outside core Hirafu pricing.,2026-06-21
Valencia,Apartment,Valencia City 5-bed buy-to-let apartment,258264.0,EUR,225000,67,3854.686567164179,HomeEspaña,https://www.homeespana.com/property-for-sale/valencia/,Low-ticket city buy-to-let example.,2026-06-21
Valencia,Villa,Alzira 5-bed villa,457988.16,EUR,399000,185,2475.6116756756755,HomeEspaña,https://www.homeespana.com/property-for-sale/valencia/,Inland/suburban villa showing value outside city core.,2026-06-21
Valencia,Villa,Torrent 3-bed detached villa,482092.8,EUR,420000,174,2770.648275862069,HomeEspaña,https://www.homeespana.com/property-for-sale/valencia/,Detached family villa example near Valencia.,2026-06-21
Algarve / Cascais,Villa,Algarve T5 villa near Alvor,1050273.5999999999,EUR,915000,410,2561.642926829268,Idealista,https://www.idealista.pt/en/geo/comprar-casas/algarve/,Large Algarve villa with pool/annex; yield depends on licence/operator.,2026-06-21
Algarve / Cascais,Villa,Cascais centre 4-bed villa,3328736.0,EUR,2900000,298,11170.255033557047,Idealista,https://www.idealista.pt/en/comprar-casas/cascais-e-estoril/cascais/,Prime Cascais is a very different price regime from Algarve.,2026-06-21
Algarve / Cascais,Apartment,Cascais Rosário T3 apartment,1136361.5999999999,EUR,990000,123,9238.71219512195,Idealista,https://www.idealista.pt/en/comprar-casas/cascais-e-estoril/cascais/,High-quality apartment example; liquidity better than yield.,2026-06-21
Málaga / Costa del Sol,Apartment,Manilva 2-bed apartment,304177.6,EUR,265000,87.08,3493.0822232429946,Spain-Real.Estate,https://spain-real.estate/,Lower-cost Costa del Sol apartment example.,2026-06-21
Málaga / Costa del Sol,Semi-detached villa,Estepona Serene Atalaya villas from,688704.0,EUR,600000,124,5554.064516129032,Cadena SER / Metrovacesa,https://cadenaser.com/andalucia/2026/01/27/metrovacesa-vende-una-promocion-de-50-villas-pareadas-en-estepona-ser-malaga/,New-build villa development example; many units sold.,2026-06-21
Málaga / Costa del Sol,Ultra-luxury villa,"Villa Orquídea, Benahavís",22727232.0,EUR,19800000,1696,13400.490566037735,El País,https://elpais.com/economia/negocios/2026-05-01/las-tres-casas-de-la-semana-el-super-lujo-de-la-costa-del-sol-cuesta-20-millones-de-euros.html,Shows top-end price ceiling; not a yield asset.,2026-06-21
Lake Como,Villa,Pianello del Lario detached villa,568180.7999999999,EUR,495000,141,4029.651063829787,Idealista,https://www.idealista.it/en/geo/vendita-case/lago-di-como/,Relatively accessible lake-view villa example.,2026-06-21
Lake Como,Villa,Blevio 6-bed villa,4706144.0,EUR,4100000,503,9356.151093439365,Gate-away,https://www.gate-away.com/properties/lake-como,Prime luxury Lake Como villa example.,2026-06-21
Lake Como,Apartment,Menaggio 3-room apartment,596876.7999999999,EUR,520000,70,8526.811428571427,Lake Como Properties,https://lake-como-properties.com/,Town/lake-access apartment example.,2026-06-21
Madeira,Villa,Funchal 3-bed sea-view villa,803488.0,EUR,700000,255.2,3148.4639498432603,Mer et Demeures,https://www.meretdemeures.com/en/property/europe/portugal/madeira/sea%2Bview-property-for%2Bsale-funchal/,Good representative sea-view villa.,2026-06-21
Madeira,Apartment,Câmara de Lobos 2-bed apartment,579659.2,EUR,505000,131,4424.879389312977,realestate.com.au International,https://www.realestate.com.au/international/pt/madeira/,Modern apartment example; check exact fees and tenure.,2026-06-21
Madeira,Luxury villa,Funchal modern pool villa,1606976.0,EUR,1400000,243,6613.069958847736,Le Figaro Properties,https://properties.lefigaro.com/announces/luxury-real%2Bestate-madeira-portugal/,Luxury Funchal villa price band; source gives USD headline and area.,2026-06-21
Costa Brava / Girona,Villa,S’Agaró 4-bed villa,1802108.8,EUR,1570000,359,5019.801671309192,Lucas Fox,https://www.lucasfox.com/property/spain/costa-brava/s-agaro.html,High-quality Costa Brava villa example.,2026-06-21
Costa Brava / Girona,Villa,Begur Sa Riera new-build villa,2525248.0,EUR,2200000,260,9712.492307692308,Costa Brava House,https://www.costabravahouse.com/en/buy-house-costa-brava,Sea-view villa with tourist-location appeal.,2026-06-21
Costa Brava / Girona,Country house,Forallac / Baix Empordà country house,1591780,USD,1591780,900,1768.6444444444444,JamesEdition,https://www.jamesedition.com/real_estate/forallac-spain,Rural-luxury alternative to beachfront villas.,2026-06-21
Crete,Village house,Stylos / Apokoronas 2-bed village house,151514.88,EUR,132000,81.5,1859.078282208589,Crete Island Real Estate,https://crete-island.net/,Low-entry authentic village-house example.,2026-06-21
Crete,Villa project,Agios Onoufrios modern villa,1687324.8,EUR,1470000,250,6749.2992,Crete Island Real Estate,https://crete-island.net/,Sea-view luxury villa development example.,2026-06-21
Crete,Hotel,Kato Gouves hotel,2525248.0,EUR,2200000,970,2603.3484536082474,A Place in the Sun,https://www.aplaceinthesun.com/property/greece/crete,Operating/hospitality property example.,2026-06-21
Annecy,Apartment,Annecy new-build 3-bed apartment,491275.51999999996,EUR,428000,80,6140.9439999999995,French-Property.com,https://www.french-property.com/properties-for-sale?location=annecy%2Chaute-savoie,City/lake access apartment; size estimated from property type if exact not shown.,2026-06-21
Annecy,House,Annecy-le-Vieux 4-bed house,859732.16,EUR,749000,188,4573.04340425532,realestate.com.au International,https://www.realestate.com.au/international/fr/annecy-le-vieux-rhone/,Family-house example below prime lakefront pricing.,2026-06-21
Annecy,Lake-area house,Veyrier-du-Lac / Lake Annecy house,2169417.6,EUR,1890000,223,9728.33004484305,Prestige Property,https://www.prestigeproperty.co.uk/lake-annecy-property-137/,Premium lake-adjacent house example.,2026-06-21
Mallorca,Apartment benchmark,Mallorca apartment benchmark,1178782.3228799999,EUR,1026957,205,5750.157672585366,Charlesdel / market listing sample,https://charlesdel.com/spain/mallorca/property-for-sale/,Average apartment listing price; not a single unit.,2026-06-21
Mallorca,Villa / house benchmark,Mallorca house/villa benchmark,3081239.88704,EUR,2684381,537,5737.876884618249,Charlesdel / market listing sample,https://charlesdel.com/spain/mallorca/property-for-sale/,Average villa/house listing price; wide dispersion by location.,2026-06-21
Mallorca,Luxury villa,Santa Ponça Villa Goya,28696000.0,EUR,25000000,900,31884.444444444445,El País,https://elpais.com/economia/negocios/2026-02-06/las-tres-casas-de-la-semana-lujo-en-venta-en-mallorca-por-25-millones-de-euros.html,Top-end luxury example; build size approximate from public description.,2026-06-21
Croatia / Istria-Dalmatia,Villa,Trogir/Ciovo sea-view villa,545224.0,EUR,475000,180,3029.0222222222224,Croatia Property Sales,https://www.croatiapropertysales.com/property-for-sale-dalmatia/,Good mid-market Dalmatian villa example.,2026-06-21
Croatia / Istria-Dalmatia,Apartment,Čiovo duplex apartment,338612.8,EUR,295000,84,4031.1047619047617,Croatia Property Sales,https://www.croatiapropertysales.com/property-for-sale-dalmatia/,Lower-ticket coastal apartment example.,2026-06-21
Croatia / Istria-Dalmatia,Waterfront villa,Zadar beachfront villa,3730480.0,EUR,3250000,310,12033.806451612903,Croatia Property Sales,https://www.croatiapropertysales.com/property-for-sale-dalmatia/,Prime waterfront villa; closer to trophy/liquidity test.,2026-06-21
Dolomites / South Tyrol,Apartment,Valdaora / Kronplatz 1-bed apartment,491275.51999999996,EUR,428000,50,9825.5104,Overseas Residence,https://overseasresidence.com/properties-dolomites/,Freehold apartment in ski area; compact but expensive per m².,2026-06-21
Dolomites / South Tyrol,Apartment,Valdaora / Kronplatz 2-bed apartment,686408.32,EUR,598000,72,9533.448888888888,Overseas Residence,https://overseasresidence.com/properties-dolomites/,Ski-area apartment benchmark.,2026-06-21
Dolomites / South Tyrol,Chalet,"Chalet Piccolino, Dolomites",1664368.0,EUR,1450000,180,9246.488888888889,Country Life / Savills,https://www.countrylife.co.uk/property/international-property-guides/the-dream-ski-chalet-for-sale-plan-world-domination-and-ski-japow-at-the-same-time,Curated chalet example; size approximate if not listed in snippet.,2026-06-21
Bali,Leasehold villa,Bingin / Uluwatu 3-bed rooftop BBQ villa,496063.25999999995,IDR,8820000000,280,1771.6544999999999,The Bali Homes,https://www.thebalihomes.com/properties,"Leasehold, ready villa example.",2026-06-21
Bali,Freehold villa,Berawa / Canggu 5-bed freehold villa,787402.0,IDR,14000000000,254,3100.0078740157483,The Bali Homes,https://www.thebalihomes.com/properties,Rare freehold-style higher-price example; legal structuring crucial.,2026-06-21
Bali,Leasehold villa,Balangan 3-bed modern villa,245781.90999999997,IDR,4370000000,156,1575.5250641025639,FazWaz Indonesia,https://www.fazwaz.id/property-for-sale/indonesia/bali,28-year lease example; terminal value matters.,2026-06-21
Chamonix,Apartment,Chamonix garden-level 159 m² apartment,1721760.0,EUR,1500000,159,10828.67924528302,SeeChamonix,https://www.seechamonix.com/property-for-sale/,High-quality apartment in core Chamonix.,2026-06-21
Chamonix,Apartment / penthouse,Argentière penthouse,1721760.0,EUR,1500000,145.3,11849.690295939436,Savills,https://search.savills.com/list/property-for-sale/54237%2C47320,Mont Blanc-view penthouse benchmark.,2026-06-21
Chamonix,Chalet,"Chalet Mica, Chamonix",2892556.8,EUR,2520000,160,18078.48,Chamonix Sotheby’s,https://www.chamonixsothebysrealty.com/en/mountain-view/%26new_research%3D1,Prime chalet example; very expensive per m².,2026-06-21
Da Nang / Hoi An,Apartment,Hoa Hai 1-bed apartment,570.126,VND,15000000,40,14.25315,FazWaz Vietnam,https://www.fazwaz.vn/property-for-sale/vietnam/da-nang,Extremely low snippet price looks anomalous; verify before relying.,2026-06-21
Da Nang / Hoi An,Condo median,Da Nang condo median listing,148004.7096,VND,3894000000,58.5,2529.995035897436,DotProperty Vietnam,https://www.dotproperty.com.vn/en/properties-for-sale/%C4%91%C3%A0-n%E1%BA%B5ng,Uses median price and median VND/m² to infer size.,2026-06-21
Da Nang / Hoi An,Apartment benchmark,70 m² Vietnam big-city apartment,133029.4,VND,3500000000,70,1900.4199999999998,Global Property Guide,https://www.globalpropertyguide.com/asia/vietnam/price-history,Market benchmark rather than destination-specific listing.,2026-06-21
Queenstown,Apartment,Sawmill Road 2-bed apartment from,447486.0,NZD,780000,75,5966.48,Ray White Queenstown,https://rwqueenstown.co.nz/properties/for-sale?category=&suburbPostCode=,Entry apartment/new-development example; size estimated.,2026-06-21
Queenstown,Apartment,"Queenstown apartment, Frankton",567963.0,NZD,990000,90,6310.7,realestate.co.nz,https://www.realestate.co.nz/residential/sale/central-otago-lakes-district/queenstown/apartment,Frankton apartment example; exact size not exposed in snippet.,2026-06-21
Queenstown,Luxury / development,Queenstown Hill development/home opportunity,1434250.0,NZD,2500000,250,5737.0,Le Figaro Properties,https://properties.lefigaro.com/announces/luxury-real%2Bestate-otago-new%2Bzealand/?ville=queenstown,Representative higher-end Queenstown Hill opportunity; verify details.,2026-06-21
Phuket / Koh Samui,Condo,Rawai condo from,107000,USD,107000,44,2431.818181818182,Tranio,https://tranio.com/articles/phuket-property-prices/,Small Phuket condo entry example.,2026-06-21
Phuket / Koh Samui,Villa,Rawai / Phuket villa from,479000,USD,479000,440,1088.6363636363637,Tranio,https://tranio.com/articles/phuket-property-prices/,"Large villa benchmark, likely outside prime west-coast pricing.",2026-06-21
Phuket / Koh Samui,Villa,"Maret, Koh Samui 4-bed pool villa",513599.45,THB,16900000,220,2334.5429545454544,FazWaz Thailand,https://www.fazwaz.com/property-for-sale/thailand/surat-thani/koh-samui,Samui villa example; land/title structure to verify.,2026-06-21
Whistler,House,Emerald Drive 3-bed house,1411473.91,CAD,1999000,146.5,9634.634197952219,Zillow,https://www.zillow.com/whistler-bc/,Lower-end detached-house example by Whistler standards.,2026-06-21
Whistler,Townhouse,Eagle Drive 2-bed townhouse,1199646.91,CAD,1699000,110.7,10836.918789521227,Zillow,https://www.zillow.com/whistler-bc/,Townhouse example; liquidity may be better than chalets.,2026-06-21
Whistler,Luxury condo,Tapley Place 5-bed condo,10587819.55,CAD,14995000,464.1,22813.659879336352,Zillow,https://www.zillow.com/whistler-bc/,Trophy segment; yield likely weak.,2026-06-21
Innsbruck / Tyrol,Apartment,Innsbruck 36 m² apartment,343204.16,EUR,299000,36,9533.448888888888,realestate.com.au International,https://www.realestate.com.au/international/at/innsbruck-tyrol/,Compact urban alpine apartment.,2026-06-21
Innsbruck / Tyrol,Apartment,Innsbruck 68 m² apartment,366160.95999999996,EUR,319000,68,5384.719999999999,realestate.com.au International,https://www.realestate.com.au/international/at/innsbruck-tyrol/,Practical city apartment example.,2026-06-21
Innsbruck / Tyrol,Luxury chalet,Kitzbühel chalet,17102816.0,EUR,14900000,240,71261.73333333334,Muhr Immobilien,https://www.muhr-immobilien.com/en/properties/tyrol/,Top-end Tyrol trophy chalet; restrictive market.,2026-06-21
Andermatt,Condo,Andermatt 2-bed condo,3780706,USD,3780706,149.0,25373.86577181208,JamesEdition,https://www.jamesedition.com/real_estate/andermatt-switzerland,"Foreign-buyer-friendly Swiss exception, but very expensive.",2026-06-21
Andermatt,Apartment,Andermatt 1-bed apartment,3395692,USD,3395692,79.0,42983.443037974685,JamesEdition,https://www.jamesedition.com/real_estate/andermatt-switzerland,Small luxury unit with very high USD/m².,2026-06-21
Andermatt,Market apartment benchmark,Andermatt median apartment,1788740.4672,CHF,1439190,88.0,20326.596218181818,RealAdvisor,https://realadvisor.ch/en/property-prices/town-andermatt,Market benchmark from June 2026 pricing data.,2026-06-21
Ticino / Lake Lugano,Apartment,Lugano 50 m² apartment,497152.0,CHF,400000,50,9943.04,realestate.com.au International,https://www.realestate.com.au/international/ch/lugano-ticino/,Lower-ticket Lugano apartment example.,2026-06-21
Ticino / Lake Lugano,Luxury villa,Lugano lake/mountain-view house,5453678,USD,5453678,771,7073.512321660181,Le Figaro Properties,https://properties.lefigaro.com/announces/luxury-real%2Bestate-ticino-switzerland/?ville=lugano,Large luxury villa example.,2026-06-21
Ticino / Lake Lugano,Market benchmark,Lugano average luxury home,2569999,USD,2569999,245,10489.791836734694,JamesEdition,https://www.jamesedition.com/real_estate/lugano-switzerland,Luxury-market benchmark; exact unit not specified.,2026-06-21
Swiss Valais / Vaud Alps,Chalet,Villars-sur-Ollon Chalet Bayrou,6587264.0,CHF,5300000,350,18820.754285714287,Knight Frank,https://www.knightfrank.com/property-for-sale/switzerland/swiss-alps,Representative high-end Vaud alpine chalet; size estimated.,2026-06-21
Swiss Valais / Vaud Alps,Penthouse,Nendaz ski-in/ski-out penthouse,4350080.0,CHF,3500000,209.96,20718.61306915603,Savills,https://search.savills.com/list/property-for-sale/switzerland/swiss-alps,Prime Swiss alpine apartment example.,2026-06-21
Swiss Valais / Vaud Alps,Market benchmark,Verbier premium resort price/m² benchmark,27467.648,CHF,22100,1,27467.648,Capiwell / UBS summary,https://capiwell.ch/swiss-alps-winter-2025-2026-holiday-homes-soar-in-demand/,"Per-m² benchmark, not a specific listing.",2026-06-21
